,lat,lon,school_index,max_children,q_children
167,-17.89473,31.01439,167,620,620
168,-17.89075,30.93326,168,620,620
169,-17.80759,30.9201,169,620,620
170,-17.90403,30.96622,170,620,620
171,-17.91653,30.97347,171,620,620
172,-17.83691,30.97646,172,620,620
173,-17.83347,31.13171,173,620,620
174,-18.01647,31.06645,174,620,620
175,-18.02432,31.12026,175,620,620
176,-17.83985,31.01452,176,620,620
177,-17.83482,30.91525,177,620,620
178,-18.00423,31.04505,178,620,620
179,-17.7953,31.03974,179,620,620
180,-17.82466,30.96691,180,620,620
181,-17.89841,30.92368,181,620,620
182,-17.69088,31.11391,182,620,620
183,-17.81419,30.98091,183,620,620
184,-17.90695,31.14798,184,620,620
185,-17.71922,31.13104,185,620,620
186,-17.87516,31.1561,186,620,620
187,-17.89376,31.13641,187,620,620
188,-17.90363,30.97927,188,620,620
189,-17.8646,30.92175,189,620,620
190,-18.02874,31.07062,190,620,620
191,-17.89026,30.99056,191,620,620
192,-17.992,31.06036,192,620,620
193,-17.85545,31.0149,193,620,620
194,-17.81322,31.02081,194,620,620
195,-17.9433,31.10025,195,620,620
196,-17.88435,30.94175,196,620,620
197,-17.99836,31.03585,197,620,620
198,-17.82609,30.89571,198,620,620
199,-17.88031,30.93324,199,620,620
200,-17.77076,30.97853,200,620,620
201,-18.75165,32.11964,201,620,620
202,-18.03567,31.07531,202,620,620
203,-17.8149,30.96953,203,620,620
204,-17.99242,31.05221,204,620,620
205,-17.81114,30.9278,205,620,620
206,-17.78699,30.91318,206,620,620
207,-17.74541,31.01503,207,620,620
208,-17.74194,30.95558,208,620,620
209,-17.76846,31.13408,209,620,620
210,-17.89804,30.95636,210,620,620
211,-18.01836,31.07108,211,620,620
212,-17.99668,31.06108,212,620,620
213,-17.95819,30.98252,213,620,620
214,-17.85016,31.0702,214,620,620
215,-17.5732,31.06051,215,620,620
216,-17.90118,31.0466,216,620,620
217,-17.7512,31.05302,217,620,620
218,-18.40151,32.42598,218,620,620
219,-18.5314,32.13,219,620,620
220,-17.60559,32.7793,220,620,620
221,-18.45587,32.55246,221,620,620
222,-18.49035,32.21361,222,620,620
223,-18.96517,32.65346,223,620,620
224,-18.96942,32.63571,224,620,620
225,-18.96301,32.67636,225,620,620
226,-18.84578,32.67998,226,620,620
227,-18.64916,32.59652,227,620,620
228,-18.96643,32.66714,228,620,620
229,-19.26508,31.54585,229,620,620
230,-20.24617,32.3907,230,620,620
231,-18.99146,32.63315,231,620,620
232,-19.52943,32.71882,232,620,620
233,-20.19296,32.64278,233,620,620
234,-18.98741,32.63491,234,620,620
235,-17.44739,32.78145,235,620,620
236,-17.9869,32.74583,236,620,414
237,-18.48715,32.48549,237,620,620
238,-18.03053,32.11049,238,620,620
239,-18.61202,32.41524,239,620,620
240,-18.57777,31.91698,240,620,620
241,-18.41816,32.45492,241,620,620
242,-18.88515,32.58609,242,620,620
243,-18.76776,32.22347,243,620,620
244,-18.53194,32.12917,244,620,620
245,-18.45663,32.93913,245,620,305
246,-18.9873,32.62661,246,620,620
247,-19.79059,32.87013,247,620,620
248,-18.9971,32.63234,248,620,620
249,-18.99997,32.58994,249,620,620
250,-18.99103,32.64153,250,620,620
251,-19.00545,32.58858,251,620,620
252,-18.97118,32.69025,252,620,620
253,-18.54223,32.11596,253,620,620
254,-18.99179,32.64149,254,620,620
255,-19.09431,32.60692,255,620,620
256,-19.08367,32.82558,256,620,620
257,-18.67485,32.1606,257,620,620
258,-18.01322,32.26687,258,620,620
259,-20.4553,32.51807,259,620,620
260,-20.45426,32.30088,260,620,620
261,-20.90293,32.46832,261,620,620
262,-20.97203,32.44348,262,620,620
263,-20.74363,32.44348,263,620,620
264,-20.47432,32.44318,264,620,620
265,-20.39395,32.31178,265,620,620
266,-20.64719,32.45322,266,620,620
267,-20.43608,32.35872,267,620,620
268,-20.39294,32.5116,268,620,620
269,-20.5037,32.45955,269,620,620
270,-20.69886,32.47577,270,620,620
271,-20.47993,32.69392,271,620,620
272,-20.43407,32.6535,272,620,620
273,-20.53422,32.63588,273,620,620
274,-20.3016,32.76127,274,620,620
275,-20.07656,32.42801,275,620,620
276,-20.13424,32.36012,276,620,620
277,-20.54619,32.59039,277,620,620
278,-20.27105,32.83827,278,620,620
279,-20.82424,32.19854,279,620,620
280,-20.22821,32.37329,280,620,620
281,-20.40646,32.47816,281,620,620
282,-20.42044,32.48346,282,620,620
283,-20.5707,32.4749,283,620,620
284,-19.99795,32.35324,284,620,620
285,-20.10595,32.35646,285,620,620
286,-20.35356,32.32206,286,620,620
287,-19.96931,32.32914,287,620,620
288,-20.60183,32.27776,288,620,620
289,-21.07396,32.27425,289,620,620
290,-20.01657,32.62937,290,620,620
291,-20.5462,32.39166,291,620,620
292,-20.2901,32.83291,292,620,620
293,-20.23793,32.65645,293,620,620
294,-19.97948,32.76875,294,620,620
295,-20.65463,32.3352,295,620,620
296,-17.57208,32.77389,296,620,620
297,-18.90639,32.57938,297,620,620
298,-17.40786,33.00201,298,620,620
299,-17.33297,32.98303,299,620,620
300,-17.57899,32.81797,300,620,504
301,-17.55896,32.88935,301,620,620
302,-17.60168,32.69126,302,620,620
303,-18.92857,32.71669,303,620,620
304,-17.67119,32.96889,304,620,386
305,-19.5209,32.32088,305,620,620
306,-21.30312,32.44224,306,620,620
307,-19.40657,32.2572,307,620,620
308,-19.2308,32.50016,308,620,620
309,-17.63058,32.92394,309,620,278
310,-19.07644,31.63939,310,620,620
311,-19.22156,31.35322,311,620,620
312,-19.1522,31.39705,312,620,620
313,-19.23401,31.2828,313,620,620
314,-19.07078,31.7915,314,620,620
315,-19.11391,31.69735,315,620,620
316,-19.16791,31.53614,316,620,620
317,-19.16021,31.75275,317,620,620
318,-19.12773,31.89102,318,620,620
319,-19.04186,31.73393,319,620,620
320,-18.52523,32.61076,320,620,620
321,-18.2153,32.73644,321,620,620
322,-18.19188,32.71121,322,620,620
323,-18.52905,32.50473,323,620,312
324,-17.79606,32.99113,324,620,486
325,-17.80677,32.91527,325,620,551
326,-18.05564,32.68895,326,620,289
327,-17.96313,32.65655,327,620,275
328,-18.07965,32.60801,328,620,104
329,-18.76633,31.95106,329,620,620
330,-18.86117,31.99285,330,620,620
331,-18.91137,32.11266,331,620,620
332,-18.61713,31.80423,332,620,620
333,-18.61024,31.94057,333,620,620
334,-18.54362,32.03212,334,620,620
335,-18.59888,32.05238,335,620,620
336,-18.56151,31.96217,336,620,620
337,-18.66515,31.97436,337,620,620
338,-18.69814,31.94988,338,620,620
339,-18.71372,32.07076,339,620,620
340,-18.41429,32.36096,340,620,620
341,-18.69899,32.10721,341,620,620
342,-18.54826,32.29287,342,620,620
343,-18.71563,31.85582,343,620,620
344,-18.43487,32.24886,344,620,620
345,-18.87189,32.0416,345,620,620
346,-18.62427,32.3931,346,620,620
347,-18.72711,32.1692,347,620,620
348,-18.75858,32.66201,348,620,620
349,-18.6534,32.56282,349,620,620
350,-18.55508,32.6408,350,620,620
351,-18.8265,32.67906,351,620,620
352,-18.75063,32.58507,352,620,620
353,-18.62722,32.49213,353,620,383
354,-18.64944,32.73862,354,620,620
355,-18.60165,32.56098,355,620,308
356,-18.71222,32.63823,356,620,620
357,-18.68647,32.48978,357,620,620
358,-18.6251,32.77809,358,620,620
359,-18.49197,32.83868,359,620,502
360,-18.79291,32.52311,360,620,620
361,-18.65338,32.84524,361,620,620
362,-18.57705,32.71296,362,620,620
363,-18.5366,32.74283,363,620,620
364,-19.11317,32.64958,364,620,620
365,-19.18258,32.67444,365,620,620
366,-19.11553,32.65528,366,620,620
367,-19.33353,32.09513,367,620,620
368,-19.22468,32.46025,368,620,620
369,-19.28341,32.57883,369,620,620
370,-19.21071,32.23131,370,620,620
371,-19.15287,32.38343,371,620,620
372,-19.34443,32.35796,372,620,620
373,-19.35016,32.43033,373,620,620
374,-19.18762,32.77881,374,620,620
375,-19.27766,32.35176,375,620,620
376,-19.1523,32.27868,376,620,620
377,-19.40458,32.54563,377,620,620
378,-19.23957,32.12043,378,620,620
379,-19.32531,32.47273,379,620,620
380,-19.42279,32.43422,380,620,620
381,-19.24846,31.31406,381,620,620
382,-19.22311,31.44561,382,620,620
383,-19.1442,31.60096,383,620,620
384,-19.35728,31.43039,384,620,620
385,-19.17671,31.41503,385,620,620
386,-19.10163,31.58181,386,620,620
387,-19.29509,31.46467,387,620,620
388,-19.40528,31.57631,388,620,620
389,-19.14016,31.3469,389,620,620
390,-19.17088,31.56958,390,620,620
391,-19.1841,31.65495,391,620,620
392,-19.28208,31.37549,392,620,620
393,-19.19885,31.59941,393,620,620
394,-19.43696,31.70654,394,620,620
395,-19.23817,31.54352,395,620,620
396,-19.35475,31.54126,396,620,620
397,-19.34826,31.49143,397,620,620
398,-19.36471,31.62529,398,620,620
399,-19.41123,31.63623,399,620,620
400,-19.50001,31.70998,400,620,620
401,-19.21851,31.42154,401,620,620
402,-19.32807,31.59103,402,620,620
403,-19.15678,31.65413,403,620,620
404,-19.19737,31.48836,404,620,620
405,-19.14926,31.55124,405,620,620
406,-19.25148,31.63521,406,620,620
407,-19.30268,31.52747,407,620,620
408,-19.32389,31.73161,408,620,620
409,-19.60952,31.95826,409,620,620
410,-19.29122,31.82684,410,620,620
411,-19.25484,31.69101,411,620,620
412,-19.73049,32.27208,412,620,620
413,-19.30342,31.64708,413,620,620
414,-19.49525,31.93972,414,620,620
415,-19.79132,31.95648,415,620,620
416,-19.52691,31.88992,416,620,620
417,-19.78779,32.04705,417,620,620
418,-19.46813,31.77577,418,620,620
419,-19.63184,31.87037,419,620,620
420,-19.51255,31.82661,420,620,620
421,-19.36316,31.69564,421,620,620
422,-19.45748,32.02559,422,620,620
423,-19.37329,31.98055,423,620,620
424,-19.54388,31.98175,424,620,620
425,-19.55106,31.7725,425,620,620
426,-19.56105,32.10369,426,620,620
427,-19.30363,31.94184,427,620,620
428,-19.71212,32.09463,428,620,620
