,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
2338,8240,MANDORA,Mashonaland West,Primary,Mhondoro Ngezi,P3,-18.717361914119813,30.46819457508359
2304,8198,ST JOSEPH MUPEREKI,Mashonaland West,Primary,Mhondoro Ngezi,P3,-18.720571914119812,30.518724575083592
2535,8481,CLYDESDALE,Mashonaland West,Primary,Zvimba,P3,-17.468121914119813,30.21406457508359
5144,16455,VUNKU SHEMER,Midlands,Primary,Gweru,P3,-19.471751914119814,29.51952457508359
3464,10808,SHAYAMAVHUDZI,Masvingo,Primary,Mwenezi,P3,-21.235681914119812,30.16948457508359
57,1068,MABVUKU,Harare,Primary,Mabvuku Tafara,P2,-17.844601914119814,31.17033457508359
1860,6541,DOMBOSHAWA,Mashonaland East,Primary,Goromonzi,P3,-17.606171914119813,31.13324457508359
3745,12041,HELEMU,Bulawayo,Primary,Mzilikazi,P2,-20.137161914119815,28.518824575083592
1390,4457,COPLEY,Mashonaland Central,Primary,Mazowe,P3,-17.134321914119813,30.887534575083592
1742,6420,ST PAUL SANGO,Mashonaland East,Primary,Hwedza,P3,-18.787671914119812,31.72653457508359
1154,4191,BELLROCK,Mashonaland Central,Primary,Mazowe,P3,-17.146531914119812,31.09806457508359
1011,3909,MUSARINGO,Manicaland,Primary,Makoni,P3,-18.672521914119812,32.342884575083595
2655,8613,ENDEAVOUR,Mashonaland West,Primary,Makonde,P3,-16.828521914119815,30.32911457508359
1350,4415,MUKONDE,Mashonaland Central,Primary,Rushinga,P3,-16.617661914119815,32.286294575083595
4224,12657,HOJENI ,Matabeleland North,Primary,Nkayi,P3,-18.727861914119813,28.70777457508359
5145,16456,WOZOLI ,Midlands,Primary,Kwekwe,P3,-19.061581914119813,29.31678457508359
3338,10676,MUGODHI PRIMARY,Masvingo,Primary,Gutu,P3,-19.712491914119813,31.61375457508359
3178,10441,MANDINDI,Masvingo,Primary,Bikita,P3,-20.018181914119815,31.43385457508359
1481,5153,MAPAREPARE,Mashonaland Central,Primary,Rushinga,P3,-16.525531914119814,32.408834575083596
